transaction_id,amount,sender_type,receiver_type,transaction_type,sender_kyc_verified,receiver_kyc_verified,ecocash_connected,transaction_frequency,international,fraud
TX00001,15989.28,business,personal,transfer,True,True,False,4,False,1
TX00002,14766.41,business,business,transfer,True,True,False,20,False,0
TX00003,14035.51,personal,business,payment,True,True,True,23,True,1
TX00004,8512.86,business,business,payment,True,True,True,4,False,0
TX00005,21188.88,personal,business,withdrawal,False,True,True,3,False,1
TX00006,20736.82,personal,business,withdrawal,True,True,False,8,False,0
TX00007,24630.69,business,business,payment,True,False,False,27,False,1
TX00008,4074.73,personal,business,withdrawal,True,True,False,21,False,0
TX00009,13358.16,business,business,payment,False,True,False,23,False,1
TX00010,17118.51,business,business,transfer,True,False,True,3,False,1
TX00011,22829.27,personal,business,withdrawal,False,False,False,15,False,1
TX00012,6629.36,business,personal,withdrawal,False,False,True,8,False,1
TX00013,12743.06,business,business,transfer,True,True,False,14,False,0
TX00014,9625.34,personal,personal,withdrawal,True,True,False,29,False,0
TX00015,19217.28,personal,business,payment,False,True,True,1,False,1
TX00016,24297.48,business,business,withdrawal,True,True,True,12,False,0
TX00017,13489.08,business,personal,payment,True,True,True,29,False,1
TX00018,5993.91,business,business,transfer,False,True,False,25,False,1
TX00019,3218.5,personal,business,payment,False,True,False,25,False,1
TX00020,17826.59,personal,personal,payment,False,True,True,8,False,1
TX00021,8458.76,business,business,transfer,True,True,True,3,False,0
TX00022,21492.29,business,business,payment,False,True,False,5,True,1
TX00023,6082.5,personal,personal,transfer,True,True,False,14,False,0
TX00024,10595.23,personal,business,withdrawal,True,True,True,24,False,0
TX00025,20016.81,business,business,transfer,True,False,True,14,False,1
TX00026,6970.84,business,business,payment,True,True,False,18,False,0
TX00027,24225.22,business,business,payment,False,False,True,28,True,1
TX00028,22562.05,business,personal,transfer,False,True,True,10,True,1
TX00029,17417.82,personal,business,transfer,True,True,True,19,False,0
TX00030,18701.91,business,business,withdrawal,False,True,True,17,False,1
TX00031,21285.05,business,business,withdrawal,True,False,True,29,False,1
TX00032,14477.19,business,business,payment,True,True,True,22,False,0
TX00033,5974.76,personal,business,withdrawal,True,False,True,30,False,0
TX00034,242.79,business,business,withdrawal,True,True,True,30,False,0
TX00035,22022.8,business,personal,payment,True,False,False,23,False,1
TX00036,15295.83,business,personal,withdrawal,True,True,True,4,False,1
TX00037,18562.99,business,personal,payment,True,True,True,22,False,1
TX00038,12640.17,personal,business,transfer,False,True,True,1,False,1
TX00039,19280.27,personal,business,withdrawal,False,False,False,1,False,1
TX00040,1890.34,business,business,payment,True,False,True,2,False,0
TX00041,9122.64,business,personal,transfer,True,True,True,25,True,1
TX00042,24346.19,business,business,transfer,True,False,True,6,False,1
TX00043,19561.84,personal,business,payment,True,True,True,28,False,0
TX00044,21466.25,business,business,payment,True,True,True,8,False,0
TX00045,16504.23,personal,personal,payment,True,True,True,21,True,1
TX00046,16991.16,personal,business,transfer,True,True,False,9,False,0
TX00047,2718.98,personal,personal,withdrawal,True,False,False,17,False,0
TX00048,9636.03,business,personal,transfer,False,True,False,30,False,1
TX00049,9111.89,business,personal,withdrawal,True,True,False,29,False,1
TX00050,12682.99,personal,personal,payment,True,True,True,14,True,0
TX00051,16936.18,business,personal,payment,True,True,True,7,True,1
TX00052,19646.11,personal,personal,payment,False,True,False,16,False,1
TX00053,16474.68,personal,personal,transfer,True,True,True,26,False,0
TX00054,3692.38,business,business,payment,True,False,True,29,False,0
TX00055,17961.46,personal,personal,payment,True,True,False,23,False,1
TX00056,22317.57,business,personal,transfer,True,False,True,18,False,1
TX00057,22937.58,business,personal,transfer,False,True,True,20,True,1
TX00058,20765.92,personal,business,withdrawal,False,False,True,25,False,1
TX00059,20998.17,personal,personal,withdrawal,True,True,True,3,False,0
TX00060,5869.99,personal,personal,withdrawal,True,True,True,8,True,0
TX00061,17351.81,business,business,payment,False,True,False,15,True,1
TX00062,1566.02,personal,personal,withdrawal,True,False,True,1,False,0
TX00063,7472.33,personal,personal,withdrawal,True,False,True,9,True,0
TX00064,12146.19,personal,personal,withdrawal,False,True,True,30,False,1
TX00065,24518.24,business,personal,withdrawal,True,True,False,14,False,1
TX00066,21672.62,business,business,payment,False,True,True,15,False,1
TX00067,8444.14,personal,personal,payment,True,True,True,1,False,0
TX00068,24997.7,personal,business,withdrawal,True,True,True,8,False,0
TX00069,20982.33,business,business,transfer,False,True,False,7,True,1
TX00070,17489.63,personal,business,withdrawal,True,True,True,4,False,0
TX00071,23222.89,personal,personal,withdrawal,True,True,False,23,False,1
TX00072,2556.51,personal,business,withdrawal,True,True,False,14,False,0
TX00073,1733.23,personal,business,payment,False,True,True,12,True,0
TX00074,17685.64,personal,business,withdrawal,True,False,True,14,False,1
TX00075,8064.39,business,business,payment,False,True,True,19,True,0
TX00076,8416.55,personal,personal,transfer,False,True,True,26,False,0
TX00077,8515.07,personal,business,withdrawal,True,True,True,24,True,0
TX00078,12219.56,business,personal,withdrawal,False,False,True,3,False,1
TX00079,5547.69,business,personal,withdrawal,True,False,False,17,False,1
TX00080,10643.34,personal,personal,withdrawal,False,True,True,9,False,1
TX00081,3025.19,business,personal,transfer,True,True,True,24,True,1
TX00082,6919.73,personal,business,transfer,True,True,True,6,False,0
TX00083,363.57,business,personal,transfer,True,True,False,5,True,1
TX00084,2573.67,business,personal,payment,False,False,True,6,False,1
TX00085,6319.43,personal,business,transfer,False,False,True,19,False,0
TX00086,3801.66,personal,business,transfer,True,False,False,20,False,0
TX00087,19394.58,personal,personal,payment,True,False,True,19,False,1
TX00088,15244.68,business,business,withdrawal,True,True,False,3,False,0
TX00089,6004.23,business,business,transfer,False,False,False,20,True,1
TX00090,7288.57,business,personal,withdrawal,True,False,True,22,False,1
TX00091,23098.54,business,personal,transfer,True,True,True,27,False,1
TX00092,1794.53,business,personal,withdrawal,True,False,True,15,False,1
TX00093,17496.34,personal,personal,payment,True,True,True,24,False,0
TX00094,15096.8,business,business,transfer,True,True,False,2,False,0
TX00095,11767.82,personal,personal,transfer,False,False,True,16,False,1
TX00096,10214.62,personal,business,transfer,True,False,False,16,False,1
TX00097,16567.96,personal,business,payment,True,True,True,11,False,0
TX00098,24254.92,personal,business,withdrawal,False,False,True,7,False,1
